Grid_Number,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
Voltage,500,500,500,500,500,500,500,500,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
Grid_Name,0001線,十和田幹線,北上幹線,青葉幹線,常磐幹線,0007線,相馬双葉幹線,0009線,北青幹線,北奥幹線,北部幹線,岩手幹線,秋盛幹線,早池峰幹線,水沢幹線,大潟幹線,0116線,秋田幹線,奥羽幹線,陸羽幹線,牡鹿幹線,鳴瀬幹線,宮城幹線,仙台幹線,松島幹線,蔵王幹線,朝日幹線,0129線,山形幹線,東北幹線,吾妻幹線,飯豊幹線,相福幹線,0138線,阿武隈幹線,勿来幹線,いわき幹線,新潟幹線,北新幹線,五頭幹線,中越幹線,南山形幹線,今別幹線,名取幹線,下北Ａ，Ｂ線,0505線,青森線,上北線,0518線,南八戸線,西八戸線,北津軽線,津軽線,南津軽線,九戸線,北岩手線,姫神線,北盛岡線,岩盛線,羽中線,盛岡線,宮古線,栗駒線,石羽根支線,仙人支線,室根線,氷上線,水金線,大船渡線,釜石線,北秋Ａ，B線,南秋Ａ線,南秋Ｂ線,由利Ａ，Ｂ線,大崎線,西石巻線,河南線,代ヶ崎線,仙台港東線,0569線,0570線,仙台港西線,仙台泉線,明通線,秋根線,西仙台線,五港線,南仙台線,中五線,中仙台線,仙南線,秋柴線,東白石線,仙山Ａ，Ｂ線,羽後Ａ，Ｂ線,八幡西Ａ，Ｂ線,酒田北港ＡＢ線,最上幹線,八幡南線,0602線,庄内線,八久和線,羽越線,新庄線,西山形線,東山形線,飯塚支線,置賜線,仙台Ａ，Ｂ線,新駒線,"第一,二福島線",荒井線,西福島線,磐梯線,日和田線,東和線,郡山Ａ線,西白河線,宇津峰線,平線,0641線,釜戸支線,阿賀東線,会津線,只見線,鹿瀬線,伊南川線,越後線,坂町線,鹿新線,揚川東線,揚川西線,北新潟線,0674線,北中線,中西線,中新潟線,西新潟線,新南線,新三線,三中線,南新潟線,長岡Ａ線,長岡Ｂ線,南長岡線,魚沼線,米山線,頚城線,南魚沼線,上越Ａ線,上越Ｂ線,西上越線,青海線,0714線,西羽中線,北上東線,青浦線,愛島郡山線
Grid_Direction,発電所→上北変電所,上北変電所→岩手変電所,岩手変電所→宮城変電所,宮城変電所→西仙台変電所,西仙台変電所→南相馬変電所,発電所→常磐幹線分岐,南相馬変電所→南いわき開閉所,発電所→0007線分岐,上北変電所→青森変電所,青森変電所→能代変電所,上北変電所→岩手変電所,岩手変電所→雫石開閉所,秋田変電所→雫石開閉所,水沢変電所→岩手変電所,水沢変電所→宮城変電所,秋田変電所→能代変電所,発電所→秋田変電所,秋田変電所→羽後変電所,宮城変電所→羽後変電所,宮城変電所→新庄変電所,石巻変電所→発電所,宮城変電所→石巻変電所,宮城変電所→仙台変電所,仙台変電所→西仙台変電所,宮城中央変電所→発電所,米沢変電所→西仙台変電所,西仙台変電所→越後開閉所,東仙台変電所→仙台変電所,新庄変電所→西山形変電所,本名変電所→米沢変電所,米沢変電所→福島変電所,米沢変電所→新潟変電所,南相馬変電所→福島変電所,南相馬変電所→発電所,福島変電所→須賀川変電所,須賀川変電所→発電所,南相馬変電所→新福島変電所,本名変電所→新潟変電所,北新潟変電所→越後開閉所,越後開閉所→新潟変電所,越後開閉所→中越変電所,西山形変電所→朝日幹線分岐,青森変電所→今別変換所,西仙台変電所→名取変電所,六ケ所変電所→下北変電所,下北変電所→電気所,青森変電所→上北変電所,上北変電所→八戸変電所,八戸変電所→発電所,八戸変電所→南八戸変電所,五戸変電所→南八戸変電所,青森変電所→北津軽変電所,青森変電所→南津軽変電所,南津軽変電所→大館変電所,北岩手変電所→南八戸変電所,岩手変電所→北岩手変電所,岩手変電所→北盛岡変電所,盛岡変電所→北盛岡変電所,岩手変電所→盛岡変電所,大仙変電所→盛岡変電所,盛岡変電所→北上変電所,盛岡変電所→宮古変電所,宮城変電所→北上変電所,発電所→栗駒線分岐,電気所→栗駒線分岐,水沢変電所→気仙沼変電所,水沢変電所→大船渡変電所,水沢変電所→金ヶ崎変電所,大船渡変電所→気仙沼変電所,大船渡変電所→電気所,秋田変電所→大館変電所,秋田変電所→御所野変電所,秋田変電所→御所野変電所,御所野変電所→由利変電所,宮城変電所→大崎変電所,大崎変電所→西石巻変電所,石巻変電所→西石巻変電所,仙台変電所→発電所,東仙台変電所→仙台港変電所,発電所→仙台港東線分岐,発電所→東仙台変電所,仙台変電所→仙台港変電所,仙台変電所→泉変電所,仙台変電所→明通変電所,西仙台変電所→根白石変電所,西仙台変電所→愛子変電所,五ツ橋変電所→仙台港変電所,南仙台変電所→仙台港変電所,中仙台変電所→五ツ橋変電所,南仙台変電所→中仙台変電所,名取変電所→仙南変電所,西仙台変電所→仙南変電所,仙南変電所→東白石変電所,西仙台変電所→東山形変電所,由利変電所→酒田北港変電所,八幡開閉所→羽後AB線分岐,酒田北港変電所→酒田変電所,新庄変電所→酒田北港線分岐,八幡開閉所→最上幹線分岐,酒田北港変電所→発電所,酒田変電所→庄内変電所,庄内変電所→510,510→坂町変電所,新庄変電所→西山形変電所,西山形変電所→山形変電所,西山形変電所→東山形変電所,山形変電所→東山形線分岐,西山形変電所→置賜変電所,東白石変電所→西福島変電所,新地変電所→駒ヶ嶺変電所,西福島変電所→会津変電所,"福島変電所→第一，二福島線
分岐",福島変電所→西福島変電所,会津変電所→日和田変電所,郡山変電所→日和田変電所,東福島変電所→日和田変電所,郡山変電所→須賀川変電所,西白河変電所→須賀川変電所,いわき変電所→郡山変電所,いわき変電所→平変電所,発電所→平変電所,0641線分岐→いわき変電所,会津変電所→発電所,会津変電所→6J03,本名変電所→6J03,発電所→本名変電所,本名変電所→6G01,6G01→長岡変電所,坂町変電所→発電所,新潟変電所→発電所,発電所→717,新潟変電所→717,北新潟変電所→新潟変電所,中新潟変電所→発電所,北新潟変電所→中新潟変電所,中新潟変電所→西新潟変電所,新潟変電所→中新潟変電所,新潟変電所→西新潟変電所,新潟変電所→南新潟変電所,新潟変電所→三条変電所,中越変電所→三条変電所,中越変電所→南新潟変電所,中越変電所→長岡変電所,中越変電所→長岡変電所,長岡変電所→南長岡変電所,魚沼変電所→長岡変電所,南長岡変電所→東上越変電所,東上越変電所→魚沼変電所,南魚沼変電所→送電線分岐,東上越変電所→上越変電所,東上越変電所→上越変電所,西上越開閉所→上越変電所,西上越開閉所→石曽根開閉所,発電所→青海線分岐,御所野変電所→大仙変電所,東花巻変電所→北上変電所,青森変電所→浦町変電所,名取変電所→南仙台変電所
Capacity,0,0,0,0,0,0,0,0,1344,1344,0,882,660,904,0,0,0,882,0,1768,0,0,882,0,0,618,0,0,1357,0,1298,0,0,0,1298,1344,0,451,1809,1809,1809,1576,882,882,118,101,154,205,0,202,325,279,185,185,154,0,202,308,506,173,288,202,0,0,0,279,185,401,185,0,0,276,304,0,0,314,506,0,0,0,0,538,185,185,185,185,269,339,285,305,336,0,237,612,185,279,377,506,556,0,232,154,308,363,363,247,253,408,118,279,102,314,363,154,304,506,304,408,304,304,0,277,147,202,132,185,158,185,205,185,185,185,285,408,282,247,253,363,301,269,269,301,314,269,215,215,253,156,0,0,0,0,0,0,191,314,142,333
